#Sample	chao1	observed_species	shannon	simpson
Ran_d1_Rcc_e00_1	2.0	2.0	0.44333653867	0.167183667151
Ran_d1_Rcc_e00_2	2.0	2.0	0.518731677549	0.205601452013
Ran_d1_Rcc_e40_1	2.0	2.0	0.864162870091	0.408839278722
Ran_d1_Rcc_e40_2	2.0	2.0	0.191133769325	0.0569816965752
Ran_d1_Sal_e00_1	2.0	2.0	0.253211153486	0.0812131259672
Ran_d1_Sal_e00_2	2.0	2.0	0.981453895034	0.4872
Ran_d1_Sal_e40_1	2.0	2.0	0.338798626019	0.117863747476
Ran_d1_Sal_e40_2	2.0	2.0	0.665769974003	0.286865651253
Ran_d1_Stw_e00_1	2.0	2.0	0.00114785303937	0.000151733555003
Ran_d1_Stw_e00_2	2.0	2.0	0.202015203665	0.0610745881016
Ran_d1_Stw_e40_1	2.0	2.0	0.99022469022	0.493239588967
Ran_d1_Stw_e40_2	2.0	2.0	0.077016875743	0.0186899252403
Ran_d1_Stw_e40_3	2.0	2.0	0.0851990064805	0.0211111670817
Ran_d2_Rcc_e00_1	2.0	2.0	0.422000516883	0.156734693878
Ran_d2_Rcc_e00_2	2.0	2.0	0.0317507792129	0.00652876566046
Ran_d2_Rcc_e40_1	2.0	2.0	0.115424678197	0.0305381069057
Ran_d2_Rcc_e40_2	2.0	2.0	0.808495434168	0.373245635483
Ran_d2_Sal_e00_1	2.0	2.0	0.844588701753	0.396204614684
Ran_d2_Sal_e00_2	2.0	2.0	0.0454784270165	0.00996652740656
Ran_d2_Sal_e40_1	2.0	2.0	0.0814620269151	0.0199979593919
Ran_d2_Sal_e40_2	2.0	2.0	0.974129187904	0.48217516749
Ran_d2_Stw_e00_1	2.0	2.0	0.0154654621505	0.00283285549017
Ran_d2_Stw_e00_2	2.0	2.0	0.0381557234365	0.00810113181682
Ran_d2_Stw_e40_1	2.0	2.0	0.989992791558	0.493079584775
Ran_d2_Stw_e40_2	2.0	2.0	0.0224724797895	0.00436321884789
Ran_d2_Stw_e40_3	1.0	1.0	-0	0.0
TS_FW_d1_00_1	2.0	2.0	0.154950735916	0.0438803241273
TS_FW_d1_00_2	2.0	2.0	0.110909876186	0.0290845712885
TS_FW_d1_04_1	2.0	2.0	0.0460936555737	0.010126320015
TS_FW_d1_04_2	2.0	2.0	0.0273524726824	0.00548441922538
TS_FW_d1_07_1	2.0	2.0	0.143108793412	0.0397714059705
TS_FW_d1_07_2	2.0	2.0	0.338277865043	0.11763018571
