#Sample	chao1	observed_species	shannon	simpson
Ran_d1_Rcc_e00_1	1140.29166667	963.0	7.8194502617	0.983496776861
Ran_d1_Rcc_e00_2	1128.05882353	1042.0	8.19792631205	0.985374914702
Ran_d1_Rcc_e40_1	1272.01111111	1089.0	8.12005223534	0.991410582167
Ran_d1_Rcc_e40_2	1192.06122449	1097.0	7.90714848687	0.976347421422
Ran_d1_Sal_e00_1	1281.80357143	1161.0	8.06952629618	0.988116337404
Ran_d1_Sal_e00_2	1300.24	1123.0	8.21304261206	0.991155687681
Ran_d1_Sal_e40_1	1183.57009346	1038.0	7.85580128627	0.987786476225
Ran_d1_Sal_e40_2	1241.1015625	1111.0	7.61582918802	0.983197337135
Ran_d1_Stw_e00_1	1029.625	832.0	6.46659626688	0.940682272424
Ran_d1_Stw_e00_2	995.492537313	776.0	7.43150536999	0.988161658811
Ran_d1_Stw_e40_1	1032.77227723	855.0	7.61571643294	0.989912785028
Ran_d1_Stw_e40_2	1249.80769231	1138.0	8.29351994003	0.992751326734
Ran_d1_Stw_e40_3	1096.43636364	928.0	7.4504686088	0.977326117845
Ran_d2_Rcc_e00_1	1183.45192308	1076.0	7.45489441797	0.962554050869
Ran_d2_Rcc_e00_2	1048.95890411	956.0	8.34501268897	0.99325887121
Ran_d2_Rcc_e40_1	1219.33333333	1133.0	8.40517450587	0.992627333642
Ran_d2_Rcc_e40_2	1118.35955056	979.0	8.30790107974	0.993406416962
Ran_d2_Sal_e00_1	1124.65217391	983.0	8.14474774346	0.992879083623
Ran_d2_Sal_e00_2	1123.59036145	1021.0	8.29980515119	0.992530908854
Ran_d2_Sal_e40_1	1207.4368932	1146.0	8.54389790324	0.99441108409
Ran_d2_Sal_e40_2	1304.01190476	1178.0	8.13182174574	0.987368639236
Ran_d2_Stw_e00_1	1266.67889908	1127.0	8.05965477271	0.988484125562
Ran_d2_Stw_e00_2	1262.0	1045.0	7.76690686495	0.988567982349
Ran_d2_Stw_e40_1	1210.98113208	956.0	7.60526424965	0.990134652687
Ran_d2_Stw_e40_2	1243.00840336	1182.0	8.13013235176	0.987673152361
Ran_d2_Stw_e40_3	676.333333333	451.0	4.26192342059	0.895230963972
TS_FW_d1_00_1	1171.14285714	1106.0	8.60043500486	0.99439162132
TS_FW_d1_00_2	1178.8961039	1112.0	8.64904059402	0.994437240187
TS_FW_d1_04_1	1137.69230769	1078.0	8.59340916515	0.994253214948
TS_FW_d1_04_2	1281.59550562	1144.0	8.6045632501	0.994166593564
TS_FW_d1_07_1	1308.47826087	1220.0	8.61876438189	0.993425868821
TS_FW_d1_07_2	1274.75	1193.0	8.59749570185	0.991745626115
TS_FW_d1_12_1	1139.375	1056.0	8.63410231608	0.994807222145
TS_FW_d1_12_2	872.092592593	647.0	5.89805186626	0.967655618659
