LIB	TOTAL	Ran_d1_Rcc_e00_1	Ran_d1_Rcc_e00_2	Ran_d1_Rcc_e40_1	Ran_d1_Rcc_e40_2	Ran_d1_Sal_e00_1	Ran_d1_Sal_e00_2	Ran_d1_Sal_e40_1	Ran_d1_Sal_e40_2	Ran_d1_Stw_e00_1	Ran_d1_Stw_e00_2	Ran_d1_Stw_e40_1	Ran_d1_Stw_e40_2	Ran_d1_Stw_e40_3	Ran_d2_Rcc_e00_1	Ran_d2_Rcc_e00_2	Ran_d2_Rcc_e40_1	Ran_d2_Rcc_e40_2	Ran_d2_Sal_e00_1	Ran_d2_Sal_e00_2	Ran_d2_Sal_e40_1	Ran_d2_Sal_e40_2	Ran_d2_Stw_e00_1	Ran_d2_Stw_e00_2	Ran_d2_Stw_e40_1	Ran_d2_Stw_e40_2	Ran_d2_Stw_e40_3	TS_FW_d1_00_1	TS_FW_d1_00_2	TS_FW_d1_04_1	TS_FW_d1_04_2	TS_FW_d1_07_1	TS_FW_d1_07_2	TS_FW_d1_12_1	TS_FW_d1_12_2	TS_FW_d2_00_1	TS_FW_d2_00_2	TS_FW_d2_04_1	TS_FW_d2_04_2	TS_FW_d2_07_1	TS_FW_d2_07_2	TS_FW_d2_12_1	TS_FW_d2_12_2	TS_SW_d1_04_1	TS_SW_d1_04_2	TS_SW_d1_07_1	TS_SW_d1_07_2	TS_SW_d1_12_1	TS_SW_d1_12_2	TS_SW_d2_04_1	TS_SW_d2_04_2	TS_SW_d2_07_1	TS_SW_d2_07_2	TS_SW_d2_12_1	TS_SW_d2_12_2	d1_Ran_0_1	d1_Ran_0_2	d1_Ran_F_e00_1	d1_Ran_F_e00_2	d1_Ran_F_e40_1	d1_Ran_F_e40_2	d1_Rcc_0_1	d1_Rcc_F_e00_1	d1_Rcc_F_e00_2	d1_Rcc_F_e40_1	d1_Rcc_F_e40_2	d1_Sal_0_1	d1_Sal_F_e00_1	d1_Sal_F_e00_2	d1_Sal_F_e40_1	d1_Sal_F_e40_2	d1_Stw_0_1	d1_Stw_F_e00_1	d1_Stw_F_e00_2	d1_Stw_F_e40_1	d2_Ran_0_1	d2_Ran_0_2	d2_Ran_F_e00_1	d2_Ran_F_e40_1	d2_Ran_F_e40_2	d2_Rcc_0_1	d2_Rcc_F_e00_1	d2_Rcc_F_e40_1	d2_Rcc_F_e40_2	d2_Sal_0_1	d2_Sal_F_e00_1	d2_Sal_F_e00_2	d2_Sal_F_e40_1	d2_Sal_F_e40_2	d2_Stw_0_1	d2_Stw_F_e00_1	d2_Stw_F_e00_2	d2_Stw_F_e40_1
REF-CHIMERA PCT	1%	1.9%	1.2%	1.7%	1.9%	1.8%	1.3%	1.4%	1.1%	0.3%	0.5%	0.4%	0.7%	0.5%	0.4%	0.6%	1.3%	0.7%	1.8%	0.4%	0.4%	0.5%	0.5%	0.5%	0.4%	1.4%	0.1%	1.6%	2.2%	1.3%	0.6%	1.7%	1.4%	1.4%	0.2%	0.6%	0.7%	2.3%	0.4%	0.4%	0.4%	0.2%	1.6%	1.9%	1.9%	1.7%	1.4%	2.4%	1.5%	0.4%	0.6%	0.4%	0.5%	0.3%	0.3%	0.2%	1%	1.7%	1.5%	0.7%	0.8%	2.6%	1.9%	1.9%	2.2%	1.8%	1.2%	1.5%	0.9%	1.1%	1.1%	0.1%	0.3%	0.3%	0.2%	1%	0.3%	0.2%	0.6%	0.5%	1.6%	0.2%	0.5%	0.2%	1.4%	1.1%	0.8%	1.5%	1.4%	0.1%	0%	0.2%	0.3%
CLUSTERED	5,539,369	53,451	44,679	59,056	53,127	53,445	40,065	56,196	60,687	78,969	68,246	72,750	57,822	66,131	66,829	45,915	71,790	57,673	63,196	53,628	73,728	74,288	49,452	67,366	80,380	63,821	63,864	55,294	47,322	45,229	55,018	57,196	65,624	45,772	58,028	58,688	37,328	73,201	64,988	67,409	60,468	56,657	49,040	57,985	64,195	58,312	68,397	53,618	66,145	68,286	40,847	59,564	43,561	61,234	32,407	66,758	75,794	54,518	52,095	54,374	79,245	68,003	62,275	59,920	53,349	66,821	53,022	71,478	26,996	58,962	64,335	61,763	47,239	60,718	55,915	62,774	54,530	59,223	61,341	68,350	79,042	63,248	66,560	65,812	67,915	59,709	74,789	65,331	52,894	73,206	77,320	64,769	60,609
CLUSTERED PCT	99%	98.1%	98.8%	98.3%	98.1%	98.2%	98.7%	98.6%	98.9%	99.7%	99.5%	99.6%	99.3%	99.5%	99.6%	99.4%	98.7%	99.3%	98.2%	99.6%	99.6%	99.5%	99.5%	99.5%	99.6%	98.6%	99.9%	98.4%	97.8%	98.7%	99.4%	98.3%	98.6%	98.6%	99.8%	99.4%	99.3%	97.7%	99.6%	99.6%	99.6%	99.8%	98.4%	98.1%	98.1%	98.3%	98.6%	97.6%	98.5%	99.6%	99.4%	99.6%	99.5%	99.7%	99.7%	99.8%	99%	98.3%	98.5%	99.3%	99.2%	97.4%	98.1%	98.1%	97.8%	98.2%	98.8%	98.5%	99.1%	98.9%	98.9%	99.9%	99.7%	99.7%	99.8%	99%	99.7%	99.8%	99.4%	99.5%	98.4%	99.8%	99.5%	99.8%	98.6%	98.9%	99.2%	98.5%	98.6%	99.9%	100%	99.8%	99.7%
CLASSIFIED	5,499,791	53,227	44,441	58,826	52,843	53,055	39,819	55,781	60,393	78,279	68,061	72,187	57,480	65,790	66,605	45,766	71,458	57,365	63,001	53,416	73,387	74,079	49,244	66,993	80,067	63,604	62,695	54,843	47,048	44,845	54,414	56,879	65,186	45,242	56,671	57,937	36,878	72,975	64,364	66,466	59,687	56,023	48,855	57,778	63,983	57,972	67,977	53,492	65,555	67,829	40,501	58,864	42,919	60,594	32,008	66,263	75,471	54,278	51,849	54,230	78,969	67,743	61,961	59,716	53,081	66,356	52,648	71,010	26,894	58,625	64,018	60,722	46,953	60,402	55,732	62,177	54,182	58,964	60,718	68,033	78,304	63,032	65,300	65,441	67,666	59,578	74,663	65,208	52,771	70,627	76,721	64,104	59,734
CLASSIFIED PCT	99.3%	99.6%	99.5%	99.6%	99.5%	99.3%	99.4%	99.3%	99.5%	99.1%	99.7%	99.2%	99.4%	99.5%	99.7%	99.7%	99.5%	99.5%	99.7%	99.6%	99.5%	99.7%	99.6%	99.4%	99.6%	99.7%	98.2%	99.2%	99.4%	99.2%	98.9%	99.4%	99.3%	98.8%	97.7%	98.7%	98.8%	99.7%	99%	98.6%	98.7%	98.9%	99.6%	99.6%	99.7%	99.4%	99.4%	99.8%	99.1%	99.3%	99.2%	98.8%	98.5%	99%	98.8%	99.3%	99.6%	99.6%	99.5%	99.7%	99.7%	99.6%	99.5%	99.7%	99.5%	99.3%	99.3%	99.3%	99.6%	99.4%	99.5%	98.3%	99.4%	99.5%	99.7%	99%	99.4%	99.6%	99%	99.5%	99.1%	99.7%	98.1%	99.4%	99.6%	99.8%	99.8%	99.8%	99.8%	96.5%	99.2%	99%	98.6%
UNCLASSIFIED	39,578	224	238	230	284	390	246	415	294	690	185	563	342	341	224	149	332	308	195	212	341	209	208	373	313	217	1,169	451	274	384	604	317	438	530	1,357	751	450	226	624	943	781	634	185	207	212	340	420	126	590	457	346	700	642	640	399	495	323	240	246	144	276	260	314	204	268	465	374	468	102	337	317	1,041	286	316	183	597	348	259	623	317	738	216	1,260	371	249	131	126	123	123	2,579	599	665	875
UNCLASSIFIED	0.7%	0.4%	0.5%	0.4%	0.5%	0.7%	0.6%	0.7%	0.5%	0.9%	0.3%	0.8%	0.6%	0.5%	0.3%	0.3%	0.5%	0.5%	0.3%	0.4%	0.5%	0.3%	0.4%	0.6%	0.4%	0.3%	1.8%	0.8%	0.6%	0.8%	1.1%	0.6%	0.7%	1.2%	2.3%	1.3%	1.2%	0.3%	1%	1.4%	1.3%	1.1%	0.4%	0.4%	0.3%	0.6%	0.6%	0.2%	0.9%	0.7%	0.8%	1.2%	1.5%	1%	1.2%	0.7%	0.4%	0.4%	0.5%	0.3%	0.3%	0.4%	0.5%	0.3%	0.5%	0.7%	0.7%	0.7%	0.4%	0.6%	0.5%	1.7%	0.6%	0.5%	0.3%	1%	0.6%	0.4%	1%	0.5%	0.9%	0.3%	1.9%	0.6%	0.4%	0.2%	0.2%	0.2%	0.2%	3.5%	0.8%	1%	1.4%
TAX-FILTER PASS	5,454,879	52,846	44,213	58,567	52,462	52,614	39,626	55,478	60,156	78,089	67,819	71,894	57,291	65,636	65,145	45,632	71,170	57,182	62,853	53,118	72,715	73,904	49,076	66,905	79,840	63,407	62,671	54,560	46,898	44,656	53,702	56,392	64,903	45,065	56,318	57,558	36,657	71,904	63,592	65,878	59,196	55,561	48,409	57,553	63,739	57,772	67,704	53,413	65,412	62,085	40,043	57,336	42,585	59,760	28,148	65,944	75,067	53,924	51,444	48,405	78,662	67,421	61,523	59,402	52,371	65,958	52,429	70,726	26,814	58,366	63,659	60,493	46,767	60,178	55,646	61,868	53,988	58,603	60,199	67,752	78,008	62,817	64,782	65,307	67,204	59,446	74,513	65,080	52,699	70,244	76,582	64,007	59,473
TAX-FILTER PASS PCT	99.2%	99.3%	99.5%	99.6%	99.3%	99.2%	99.5%	99.5%	99.6%	99.8%	99.6%	99.6%	99.7%	99.8%	97.8%	99.7%	99.6%	99.7%	99.8%	99.4%	99.1%	99.8%	99.7%	99.9%	99.7%	99.7%	100%	99.5%	99.7%	99.6%	98.7%	99.1%	99.6%	99.6%	99.4%	99.3%	99.4%	98.5%	98.8%	99.1%	99.2%	99.2%	99.1%	99.6%	99.6%	99.7%	99.6%	99.9%	99.8%	91.5%	98.9%	97.4%	99.2%	98.6%	87.9%	99.5%	99.5%	99.3%	99.2%	89.3%	99.6%	99.5%	99.3%	99.5%	98.7%	99.4%	99.6%	99.6%	99.7%	99.6%	99.4%	99.6%	99.6%	99.6%	99.8%	99.5%	99.6%	99.4%	99.1%	99.6%	99.6%	99.7%	99.2%	99.8%	99.3%	99.8%	99.8%	99.8%	99.9%	99.5%	99.8%	99.8%	99.6%
TAX-FILTER FAIL	44,912	381	228	259	381	441	193	303	237	190	242	293	189	154	1,460	134	288	183	148	298	672	175	168	88	227	197	24	283	150	189	712	487	283	177	353	379	221	1,071	772	588	491	462	446	225	244	200	273	79	143	5,744	458	1,528	334	834	3,860	319	404	354	405	5,825	307	322	438	314	710	398	219	284	80	259	359	229	186	224	86	309	194	361	519	281	296	215	518	134	462	132	150	128	72	383	139	97	261
TAX-FILTER FAIL PCT	0.8%	0.7%	0.5%	0.4%	0.7%	0.8%	0.5%	0.5%	0.4%	0.2%	0.4%	0.4%	0.3%	0.2%	2.2%	0.3%	0.4%	0.3%	0.2%	0.6%	0.9%	0.2%	0.3%	0.1%	0.3%	0.3%	0%	0.5%	0.3%	0.4%	1.3%	0.9%	0.4%	0.4%	0.6%	0.7%	0.6%	1.5%	1.2%	0.9%	0.8%	0.8%	0.9%	0.4%	0.4%	0.3%	0.4%	0.1%	0.2%	8.5%	1.1%	2.6%	0.8%	1.4%	12.1%	0.5%	0.5%	0.7%	0.8%	10.7%	0.4%	0.5%	0.7%	0.5%	1.3%	0.6%	0.4%	0.4%	0.3%	0.4%	0.6%	0.4%	0.4%	0.4%	0.2%	0.5%	0.4%	0.6%	0.9%	0.4%	0.4%	0.3%	0.8%	0.2%	0.7%	0.2%	0.2%	0.2%	0.1%	0.5%	0.2%	0.2%	0.4%
