Sequence_ID	sample_name
ASV_100287	Sandmound_ThreeSqA_D1
ASV_100288	Browns_TuleC_D2
ASV_10029	Ran_d1_Rcc_e40_2
ASV_100290	MayberryNW_TuleA_D2
ASV_100292	MayberryNE_TuleB_D1
ASV_100293	MayberryNE_TuleC_D2
ASV_100296	MayberryNE_TuleA_D2
ASV_100297	Browns_ThreeSqC_D1
ASV_1003	Alt_d1_FW_1T
ASV_10030	Alt_d1_Ctrl_10T
ASV_100301	Sandmound_CattailA_D1
ASV_100303	WestPond_CattailA_D1
ASV_100304	MayberryNE_CattailB_D2
ASV_100309	Sandmound_TuleC_D1
ASV_10031	Alt_d1_Ctrl_15T
ASV_100311	Browns_TuleA_D2
ASV_100313	Sandmound_ThreeSqB_D1
ASV_100316	MayberryNE_TuleA_D2
ASV_100319	Sandmound_ThreeSqA_D2
ASV_10032	TL_inc_d1_DI_ctrl_3
ASV_100321	WestPond_TuleA_D2
ASV_100324	Sandmound_ThreeSqC_D1
ASV_100326	MayberryNE_TuleA_D1
ASV_100331	WestPond_CattailC_D2
ASV_100332	MayberryNW_TuleC_D1
ASV_100333	WestPond_TuleB_D2
ASV_100337	MayberryNW_CattailB_D2
ASV_10034	Ran_d2_Sal_e40_1
ASV_100346	MayberryNE_TuleA_D2
ASV_100348	WestPond_TuleB_D1
ASV_10035	Ran_d1_Rcc_e40_1
ASV_100352	MayberrySE_CattailC_D1
ASV_100353	MayberryNE_CattailA_D1
ASV_100355	WestPond_TuleA_D2
ASV_10036	Browns_ThreeSqA_D1
ASV_100361	MayberryNW_TuleC_D1
ASV_100362	MayberryNE_TuleA_D1
ASV_100363	WestPond_TuleB_D2
ASV_100365	Sandmound_TuleA_D2
ASV_100366	MayberryNE_TuleA_D2
ASV_100368	WestPond_TuleB_D2
ASV_10037	MayberryNE_CattailA_D1
ASV_100370	Sandmound_TuleA_D2
ASV_100372	Sandmound_ThreeSqC_D2
ASV_100373	MayberrySE_CattailB_D1
ASV_100378	MayberryNE_TuleA_D2
ASV_100379	Sandmound_ThreeSqA_D1
ASV_10038	Browns_ThreeSqA_D1
ASV_100386	Browns_ThreeSqB_D1
ASV_100388	Sandmound_ThreeSqA_D1
ASV_10039	MayberryNE_CattailA_D1
ASV_100391	WestPond_TuleA_D2
ASV_100392	WestPond_TuleC_D1
ASV_100393	MayberryNE_CattailC_D1
ASV_100395	Browns_TuleC_D1
ASV_1004	Browns_ThreeSqB_D1
ASV_100405	MayberrySE_TuleB_D2
ASV_100407	MayberryNE_TuleB_D2
ASV_10041	MayberryNE_CattailA_D1
ASV_100410	MayberrySE_CattailC_D1
ASV_100414	WestPond_CattailC_D1
ASV_100416	MayberryNE_TuleA_D1
ASV_100419	Sandmound_ThreeSqB_D1
ASV_10042	MayberryNE_CattailB_D2
ASV_100425	MayberryNW_CattailB_D2
ASV_100428	Browns_ThreeSqC_D2
ASV_10043	Browns_TuleC_D1
ASV_100431	Browns_TuleB_D2
ASV_100433	MayberryNE_TuleB_D2
ASV_100437	MayberryNW_CattailB_D1
ASV_100438	Sandmound_ThreeSqC_D1
ASV_10044	WestPond_TuleC_D1
ASV_100441	Sandmound_CattailA_D1
ASV_100444	MayberryNE_TuleB_D2
ASV_100449	Browns_ThreeSqB_D2
ASV_10045	Ran_d1_Rcc_e40_1
ASV_100450	MayberryNE_TuleA_D1
ASV_100453	Browns_ThreeSqA_D1
ASV_100455	MayberryNW_TuleC_D1
ASV_100457	MayberrySE_TuleA_D1
ASV_100459	Browns_ThreeSqB_D2
ASV_10046	TL_inc_d1_ASW_4
ASV_100465	WestPond_TuleA_D2
ASV_100466	Sandmound_ThreeSqB_D1
ASV_10047	Alt_d1_FW_11T
ASV_100473	WestPond_CattailB_D1
ASV_100474	MayberryNE_CattailA_D1
ASV_100475	MayberrySE_CattailB_D2
ASV_100476	MayberryNE_TuleA_D1
ASV_100477	WestPond_TuleB_D1
ASV_100479	WestPond_CattailC_D2
ASV_10048	Alt_d1_Ctrl_10T
ASV_100482	Sandmound_CattailA_D2
ASV_100489	Sandmound_TuleC_D2
ASV_10049	Alt_d1_Ctrl_10T
ASV_100490	MayberryNW_CattailC_D1
ASV_100493	Sandmound_TuleA_D2
ASV_100494	Browns_ThreeSqC_D1
ASV_100495	Sandmound_ThreeSqA_D2
ASV_100498	MayberryNW_CattailB_D1
ASV_1005	Browns_ThreeSqB_D2
ASV_10050	Alt_d1_Ctrl_10T
ASV_100501	MayberryNE_TuleA_D2
ASV_100502	Browns_ThreeSqA_D1
ASV_100505	MayberryNE_TuleC_D1
ASV_100508	Sandmound_ThreeSqC_D1
ASV_10051	TL_inc_d1_ASW_3
ASV_100510	WestPond_CattailC_D1
ASV_100511	Sandmound_ThreeSqC_D1
ASV_100513	Browns_TuleC_D1
ASV_100515	Sandmound_CattailA_D1
ASV_100518	MayberryNW_TuleC_D1
ASV_10052	Alt_d1_Ctrl_10T
ASV_100520	WestPond_CattailA_D2
ASV_100521	MayberryNW_TuleA_D1
ASV_100522	MayberryNE_TuleA_D1
ASV_100523	WestPond_CattailA_D1
ASV_100524	Browns_TuleC_D2
ASV_100527	Sandmound_CattailA_D1
ASV_10053	MayberrySE_CattailB_D2
ASV_100530	MayberryNW_CattailA_D2
ASV_100531	Sandmound_TuleA_D2
ASV_100532	MayberryNW_CattailB_D2
ASV_100541	Browns_TuleB_D1
ASV_100544	Sandmound_ThreeSqA_D1
ASV_100549	Sandmound_ThreeSqC_D2
ASV_100550	Browns_TuleB_D2
ASV_100551	Browns_TuleC_D1
ASV_100553	WestPond_TuleB_D1
ASV_100555	Sandmound_CattailA_D2
ASV_100558	Browns_ThreeSqB_D1
ASV_100559	MayberryNE_CattailB_D2
ASV_10056	Sandmound_CattailA_D1
ASV_100560	WestPond_CattailC_D1
ASV_100564	Browns_TuleC_D2
ASV_100566	WestPond_TuleB_D2
ASV_100567	Sandmound_TuleA_D1
ASV_100568	MayberryNW_TuleB_D1
ASV_10057	Browns_ThreeSqA_D1
ASV_100571	Browns_ThreeSqC_D2
ASV_100572	MayberryNW_CattailC_D1
ASV_100573	WestPond_CattailA_D2
ASV_100577	Sandmound_ThreeSqA_D2
ASV_100578	Sandmound_ThreeSqB_D2
ASV_100579	Sandmound_TuleA_D2
ASV_10058	MayberryNE_CattailA_D1
ASV_100589	MayberryNE_TuleA_D1
ASV_10059	Ran_d2_Rcc_e40_2
ASV_100590	MayberryNE_TuleB_D2
ASV_100591	MayberryNE_TuleB_D2
ASV_100592	WestPond_CattailA_D2
ASV_100593	WestPond_TuleA_D2
ASV_100594	MayberryNW_CattailB_D1
ASV_100595	Sandmound_TuleB_D2
ASV_100599	WestPond_CattailB_D2
ASV_1006	Browns_ThreeSqA_D1
ASV_100600	WestPond_TuleC_D1
ASV_100602	MayberryNW_TuleC_D2
ASV_100603	MayberryNW_CattailC_D2
ASV_10061	Alt_d1_Ctrl_10T
ASV_100610	Browns_TuleA_D2
ASV_100615	MayberryNW_CattailB_D2
ASV_100616	MayberryNE_CattailB_D2
ASV_100617	WestPond_TuleA_D1
ASV_100618	MayberryNE_CattailB_D2
ASV_10062	Alt_d2_SAL_6M
ASV_100626	Browns_ThreeSqC_D1
ASV_10063	Alt_d1_Ctrl_10T
ASV_100630	MayberryNE_TuleA_D2
ASV_100631	WestPond_TuleA_D2
ASV_100633	WestPond_TuleB_D1
ASV_100634	Browns_TuleA_D2
ASV_100635	Sandmound_TuleC_D2
ASV_10064	TL_inc_d1_ASW_3
ASV_100641	WestPond_TuleB_D1
ASV_100647	Sandmound_CattailA_D2
ASV_100648	MayberryNE_TuleB_D1
ASV_10065	Alt_d1_Ctrl_15T
ASV_100651	Sandmound_CattailA_D2
ASV_100652	Sandmound_TuleC_D1
ASV_100657	WestPond_CattailA_D2
ASV_100658	Sandmound_TuleC_D1
ASV_100659	WestPond_CattailC_D1
ASV_100660	Sandmound_ThreeSqB_D2
ASV_100668	MayberryNE_TuleA_D1
ASV_10067	Alt_d1_Ctrl_10T
ASV_100670	WestPond_TuleA_D2
ASV_100673	Sandmound_ThreeSqA_D1
ASV_100674	MayberryNE_CattailB_D1
ASV_100675	WestPond_CattailB_D2
ASV_100679	Sandmound_ThreeSqC_D2
ASV_10068	Alt_d2_Ctrl_10M
ASV_100681	MayberryNW_CattailC_D1
ASV_100682	WestPond_CattailA_D2
ASV_100683	Browns_TuleC_D2
ASV_100686	MayberryNE_CattailA_D2
ASV_10069	Browns_ThreeSqA_D1
ASV_100691	Sandmound_CattailA_D1
ASV_100695	Sandmound_CattailA_D2
ASV_100696	Sandmound_ThreeSqC_D1
ASV_100697	MayberryNE_CattailC_D2
ASV_100698	MayberryNW_TuleB_D1
ASV_100699	MayberryNE_TuleC_D2
ASV_1007	Browns_TuleA_D2
ASV_10070	MayberryNE_CattailA_D2
ASV_100706	Sandmound_TuleA_D1
ASV_100707	Browns_ThreeSqA_D2
ASV_100708	Sandmound_ThreeSqB_D1
ASV_100709	Browns_TuleC_D1
ASV_10071	Browns_TuleC_D1
ASV_100711	Sandmound_ThreeSqA_D1
ASV_100713	MayberryNE_TuleA_D2
ASV_100717	Sandmound_ThreeSqC_D2
ASV_10072	MayberryNE_CattailC_D1
ASV_100720	Sandmound_ThreeSqC_D2
ASV_100722	Browns_TuleC_D1
ASV_100727	Sandmound_ThreeSqA_D1
ASV_100729	MayberryNE_CattailC_D1
ASV_10073	Browns_ThreeSqC_D2
ASV_100730	Sandmound_CattailA_D2
ASV_100732	Browns_TuleB_D1
ASV_100733	WestPond_TuleA_D1
ASV_100734	MayberryNE_CattailA_D1
ASV_100736	WestPond_CattailB_D1
ASV_100739	MayberryNW_CattailA_D2
ASV_10074	Browns_ThreeSqB_D1
ASV_100740	Browns_TuleC_D1
ASV_100742	WestPond_CattailA_D2
ASV_100746	Browns_TuleC_D2
ASV_10075	MayberryNE_CattailA_D1
ASV_100750	MayberrySE_CattailC_D1
ASV_100756	WestPond_CattailA_D1
ASV_100758	MayberryNE_CattailB_D1
ASV_10076	MayberryNE_TuleA_D1
ASV_100762	Sandmound_TuleC_D1
ASV_100766	Sandmound_TuleA_D1
ASV_100767	WestPond_TuleC_D1
ASV_10077	Browns_TuleC_D1
ASV_100770	MayberrySE_CattailC_D2
ASV_100772	MayberryNW_CattailB_D2
ASV_100773	Sandmound_TuleB_D2
ASV_100774	Browns_TuleC_D1
ASV_100775	Browns_ThreeSqB_D2
ASV_100776	Sandmound_ThreeSqA_D1
ASV_100778	MayberryNE_TuleB_D1
ASV_10078	Ran_d1_Rcc_e40_1
ASV_100780	MayberrySE_TuleB_D1
ASV_100787	Browns_TuleB_D1
ASV_100789	Sandmound_ThreeSqB_D2
ASV_10079	Ran_d1_Rcc_e40_1
ASV_100790	MayberryNE_TuleB_D2
ASV_100797	WestPond_CattailB_D2
ASV_100799	WestPond_TuleB_D2
ASV_1008	Ran_d1_Rcc_e40_1
ASV_10080	Ran_d1_Sal_e40_1
ASV_100803	Sandmound_TuleA_D1
ASV_100804	Browns_ThreeSqC_D2
ASV_100805	WestPond_TuleC_D2
ASV_100807	Browns_TuleC_D2
ASV_100808	MayberryNE_CattailB_D1
ASV_100810	MayberryNE_TuleA_D2
ASV_100811	WestPond_TuleC_D1
ASV_100812	Sandmound_TuleC_D2
ASV_100813	Browns_ThreeSqB_D1
ASV_100816	Sandmound_CattailA_D1
ASV_10082	Alt_d1_Ctrl_3T
ASV_100821	MayberryNE_TuleC_D1
ASV_100822	MayberryNW_CattailA_D1
ASV_100823	Sandmound_TuleB_D2
ASV_100824	MayberryNW_CattailA_D1
ASV_100825	Browns_TuleA_D2
ASV_100827	Sandmound_TuleB_D2
ASV_10083	Alt_d1_Ctrl_10T
ASV_100830	MayberryNW_TuleA_D2
ASV_100831	MayberryNW_CattailC_D1
ASV_100832	MayberryNE_CattailC_D2
ASV_100835	WestPond_TuleB_D1
ASV_100839	MayberryNE_TuleA_D2
ASV_10084	Alt_d1_Ctrl_10T
ASV_100842	MayberryNW_TuleA_D1
ASV_100843	WestPond_CattailA_D2
ASV_100844	MayberryNE_CattailB_D1
ASV_100846	MayberryNE_TuleA_D2
ASV_10085	Alt_d1_Ctrl_10T
ASV_100855	WestPond_CattailB_D1
ASV_100858	Browns_ThreeSqA_D1
ASV_10086	Ran_d1_Rcc_e40_1
ASV_100861	MayberryNE_CattailB_D1
ASV_100862	WestPond_CattailB_D1
ASV_100865	MayberryNW_TuleA_D1
ASV_100866	MayberryNE_TuleA_D2
ASV_100868	MayberryNW_TuleC_D2
ASV_100869	WestPond_CattailB_D1
ASV_10087	Alt_d1_FW_11T
ASV_100870	Sandmound_CattailA_D2
ASV_100878	Browns_ThreeSqB_D1
ASV_10088	Alt_d1_SAL_13T
ASV_100881	MayberryNE_CattailA_D1
ASV_100886	WestPond_TuleA_D2
ASV_100889	Sandmound_TuleB_D2
ASV_100890	Sandmound_ThreeSqB_D2
ASV_100893	Sandmound_ThreeSqA_D1
ASV_100898	Sandmound_TuleA_D2
ASV_100899	Browns_ThreeSqC_D2
ASV_1009	MayberryNE_CattailA_D1
ASV_10090	MayberryNE_CattailA_D1
ASV_100902	MayberrySE_TuleA_D2
ASV_100904	MayberryNW_TuleB_D2
ASV_100905	MayberryNE_CattailA_D1
ASV_100906	WestPond_TuleB_D2
ASV_10091	MayberryNE_CattailA_D1
ASV_100921	WestPond_CattailC_D2
