"","Site","Detail","Depth","EstSalt","Estuary","Info","rich","shannon","sampleID","Salinity_ppt_all","Conductivity_uS_cm","CH4_pw_air_ppmv","CH4_ug_m2_h","N2O_ug_m2_h","CO2_ug_m2_h","NEE_mgC_m2_m","GEP_mgC_m2_m","PAR_uE_m2_s","CH4_pot_umol_gdw_h","CO2_pot_umol_gdw_h","Cl_mgL","SO4_mgL","NH4_mgL","NO3_mgL","pH","PO4_mgL","Fe_mgL","Acetate_mgL","TotalVFA_uM","SR_umol_cm3_d","AMG_umol_cm3_d","TOC_mgL","TN_mgL","Br_mgL","DIN_mgL","DON_mgL","DOC_mgL","DIC_mgL","Na_mgL","K_mgL","Ca_mgL","Mn_mgL","Mg_mgL","Cu_mgL","Zn_mgL","sed_pH","sed_NH4_mgL","sed_NO3_mgL","sed_PO4_mgL","sed_Cl_mgL","sed_SO4_mgL","sed_per_C","sed_per_N","sed_CN","sed_per_org","sed_per_inorg","sed_Bulk_dens","sed_Fe_mgL","sed_Mn_mgL","sed_Cu_mgL","sed_Zn_mgL","N2_umol_m2_h","SOD_umol_m2_h","NO3_umol_m2_h","NH4_umol_m2_h","SRP_umol_m2_h","DON_umol_m2_h","Porosity","Salt","Field","Exp","Estuary2","ExpEstSalt","Estuary3","Est3Salt","MG_MT"
"MayberryNE_TuleC_D1","Mayberry","Tule","0-5","SF_Oligohaline","SF","Mayberry",4960,7.16466793940418,"MayberryNE_TuleC_D1",3.431605924,NA,NA,223.5979753,NA,3994.20267,NA,NA,NA,NA,NA,76898.849,48.862,NA,NA,6.83,NA,91.02,NA,NA,NA,NA,NA,1.884,NA,NA,NA,115,NA,1083096.2,31768.44,110855.9,0.65,172987.87,23.8,172987.87,6.83,165.2,5.87,2.4,2027.74,510.3,30.34,1.884,19.3001717639934,NA,NA,0.100956633878723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oligohaline","Field","Obs","SF","Obs_SF_Oligohaline","SF","SF_Oligohaline",1.36104513064133
"MayberryNE_TuleC_D2","Mayberry","Tule","5-15","SF_Oligohaline","SF","Mayberry",5355,7.08970141903778,"MayberryNE_TuleC_D2",3.431605924,NA,NA,223.5979753,NA,3994.20267,NA,NA,NA,NA,NA,76898.849,48.862,NA,NA,7.14,NA,91.02,NA,NA,NA,NA,NA,1.748,NA,NA,NA,115,NA,1083096.2,31768.44,110855.9,0.65,172987.87,23.8,172987.87,7.14,197.42,2.5,2.8,3376.258,708.3,31.08,1.748,22.1694477430776,NA,NA,0.10370999662087,35320,277,21,36,NA,NA,NA,NA,NA,NA,NA,"Oligohaline","Field","Obs","SF","Obs_SF_Oligohaline","SF","SF_Oligohaline",1.35791757049892
"MayberryNW_CattailA_D1","Mayberry","Cattail","0-5","SF_Oligohaline","SF","Mayberry",5200,7.08943182677496,"MayberryNW_CattailA_D1",3.7,NA,NA,775.7762525,NA,9783.608475,NA,NA,NA,NA,NA,42557.5123,13.7775,NA,NA,6.33,NA,261.83,NA,NA,NA,NA,NA,1.26,NA,NA,NA,125.3,NA,559893.14,14412.34,208159.83,992.74,142815.83,7.17,142815.83,6.33,22.8,0.2,12.9,2898.392,180.9,18.03,1.26,15.1418422002054,NA,NA,0.422218998632433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oligohaline","Field","Obs","SF","Obs_SF_Oligohaline","SF","SF_Oligohaline",0.475583864118896
"MayberryNW_CattailA_D2","Mayberry","Cattail","5-15","SF_Oligohaline","SF","Mayberry",4786,6.84228037361126,"MayberryNW_CattailA_D2",3.7,NA,NA,775.7762525,NA,9783.608475,NA,NA,NA,NA,NA,42557.5123,13.7775,NA,NA,6.37,NA,261.83,NA,NA,NA,NA,NA,1.087,NA,NA,NA,125.3,NA,559893.14,14412.34,208159.83,992.74,142815.83,7.17,142815.83,6.37,17.89,0.19,22.8,2045.1105,47.4,15.73,1.087,17.272782071816,NA,NA,0.541714941641612,29870,412,40,61,NA,NA,NA,NA,NA,NA,NA,"Oligohaline","Field","Obs","SF","Obs_SF_Oligohaline","SF","SF_Oligohaline",0.126315789473684
"MayberryNW_CattailB_D1","Mayberry","Cattail","0-5","SF_Oligohaline","SF","Mayberry",4514,6.84910400910021,"MayberryNW_CattailB_D1",3.7,NA,NA,868.7915088,NA,19225.91127,NA,NA,NA,NA,NA,74778.070475,4.2655,NA,NA,6.39,NA,907.66,NA,NA,NA,NA,NA,1.265,NA,NA,NA,152.1,NA,1066717.9,23214.02,220804.16,1122.42,188097.06,9.5,188097.06,6.39,27.07,0.18,11.4,4043.7815,232.4,17.44,1.265,14.8515224680407,NA,NA,0.444062343053466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oligohaline","Field","Obs","SF","Obs_SF_Oligohaline","SF","SF_Oligohaline",0.348958333333333
"MayberryNW_CattailB_D2","Mayberry","Cattail","5-15","SF_Oligohaline","SF","Mayberry",4528,6.70353749553863,"MayberryNW_CattailB_D2",3.7,NA,NA,868.7915088,NA,19225.91127,NA,NA,NA,NA,NA,74778.070475,4.2655,NA,NA,6.53,NA,907.66,NA,NA,NA,NA,NA,1.019,NA,NA,NA,152.1,NA,1066717.9,23214.02,220804.16,1122.42,188097.06,9.5,188097.06,6.53,39.39,0.2,19.9,2665.84,40.4,15.1,1.019,16.2853342891685,NA,NA,0.586301062312779,32530,475,43,63,NA,NA,NA,NA,NA,NA,NA,"Oligohaline","Field","Obs","SF","Obs_SF_Oligohaline","SF","SF_Oligohaline",0.140789473684211
"MayberryNW_CattailC_D1","Mayberry","Cattail","0-5","SF_Oligohaline","SF","Mayberry",5200,7.05502660135414,"MayberryNW_CattailC_D1",3.2,NA,NA,1304.652219,NA,16263.07373,NA,NA,NA,NA,NA,55050.90765,23.5405,NA,NA,6.27,NA,119.59,NA,NA,NA,NA,NA,1.235,NA,NA,NA,94.79,NA,743017.54,14087.7,193011.09,36.14,124685.81,10.28,124685.81,6.27,10.69,0.12,9.5,2911.154,138.1,17.1,1.235,15.1650743903109,NA,NA,0.49846879083829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oligohaline","Field","Obs","SF","Obs_SF_Oligohaline","SF","SF_Oligohaline",0.271284271284271
"MayberryNW_CattailC_D2","Mayberry","Cattail","5-15","SF_Oligohaline","SF","Mayberry",3929,6.32958083959103,"MayberryNW_CattailC_D2",3.2,NA,NA,1304.652219,NA,16263.07373,NA,NA,NA,NA,NA,55050.90765,23.5405,NA,NA,6.37,NA,119.59,NA,NA,NA,NA,NA,1.049,NA,NA,NA,94.79,NA,743017.54,14087.7,193011.09,36.14,124685.81,10.28,124685.81,6.37,15.72,NA,16.9,2160.323,34,15.24,1.049,16.7645467028595,NA,NA,0.592927488645546,30990,472,43,63,NA,NA,NA,NA,NA,NA,NA,"Oligohaline","Field","Obs","SF","Obs_SF_Oligohaline","SF","SF_Oligohaline",0.0459363957597173
"MayberryNW_TuleA_D1","Mayberry","Tule","0-5","SF_Oligohaline","SF","Mayberry",4280,6.76524024917268,"MayberryNW_TuleA_D1",3.2,NA,NA,507.6657121,NA,10674.32117,NA,NA,NA,NA,NA,69181.6676,31.102,NA,NA,5.95,NA,213.49,NA,NA,NA,NA,NA,1.188,NA,NA,NA,91.03,NA,976662.06,17709.77,186636.96,440.02,166242.35,10.44,166242.35,5.95,12.22,0.22,8.3,2629.681,61.3,16.15,1.188,14.1747926353704,NA,NA,0.53094011544401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oligohaline","Field","Obs","SF","Obs_SF_Oligohaline","SF","SF_Oligohaline",0.416839916839917
"MayberryNW_TuleA_D2","Mayberry","Tule","5-15","SF_Oligohaline","SF","Mayberry",4341,6.54002748960525,"MayberryNW_TuleA_D2",3.2,NA,NA,507.6657121,NA,10674.32117,NA,NA,NA,NA,NA,69181.6676,31.102,NA,NA,5.94,NA,213.49,NA,NA,NA,NA,NA,1.076,NA,NA,NA,91.03,NA,976662.06,17709.77,186636.96,440.02,166242.35,10.44,166242.35,5.94,14.08,0.18,18.5,2704.4805,30.8,15.65,1.076,15.9320266830994,NA,NA,0.612072537579275,32970,417,44,66,NA,NA,NA,NA,NA,NA,NA,"Oligohaline","Field","Obs","SF","Obs_SF_Oligohaline","SF","SF_Oligohaline",0.224318658280922
"MayberryNW_TuleB_D1","Mayberry","Tule","0-5","SF_Oligohaline","SF","Mayberry",4867,7.02070839167239,"MayberryNW_TuleB_D1",3.3,NA,NA,1679.90338,NA,13840.94104,NA,NA,NA,NA,NA,36450.1863,25.446,NA,NA,6.2,NA,102.42,NA,NA,NA,NA,NA,1.288,NA,NA,NA,53.9,NA,515583.57,18008.51,141550.45,3.25,95313.91,6.46,95313.91,6.2,57.69,0.19,8.6,2693.491,153.9,17,1.288,13.9253600865873,NA,NA,0.491053067186108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oligohaline","Field","Obs","SF","Obs_SF_Oligohaline","SF","SF_Oligohaline",0.567723342939481
"MayberryNW_TuleB_D2","Mayberry","Tule","5-15","SF_Oligohaline","SF","Mayberry",3889,6.27021288159097,"MayberryNW_TuleB_D2",3.3,NA,NA,1679.90338,NA,13840.94104,NA,NA,NA,NA,NA,36450.1863,25.446,NA,NA,6.48,NA,102.42,NA,NA,NA,NA,NA,1.089,NA,NA,NA,53.9,NA,515583.57,18008.51,141550.45,3.25,95313.91,6.46,95313.91,6.48,67.44,NA,23.2,2134.799,42,16.03,1.089,16.2772738396598,NA,NA,0.608529877517712,31850,476,41,61,NA,NA,NA,NA,NA,NA,NA,"Oligohaline","Field","Obs","SF","Obs_SF_Oligohaline","SF","SF_Oligohaline",0.0749665327978581
"MayberryNW_TuleC_D1","Mayberry","Tule","0-5","SF_Oligohaline","SF","Mayberry",4681,6.63739249787684,"MayberryNW_TuleC_D1",3,NA,NA,164.9451193,NA,1856.553198,NA,NA,NA,NA,NA,54152.5692,17.3,NA,NA,6.63,NA,435.05,NA,NA,NA,NA,NA,1.19,NA,NA,NA,74.55,NA,777787.29,28824.74,143436.13,633.29,123036.21,6.27,123036.21,6.63,39.17,0.13,6.6,2149.3335,101.9,16.82,1.19,13.9745723283069,NA,NA,0.564494429394975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oligohaline","Field","Obs","SF","Obs_SF_Oligohaline","SF","SF_Oligohaline",0.15742251223491
"MayberryNW_TuleC_D2","Mayberry","Tule","5-15","SF_Oligohaline","SF","Mayberry",4259,6.58363076018832,"MayberryNW_TuleC_D2",3,NA,NA,164.9451193,NA,1856.553198,NA,NA,NA,NA,NA,54152.5692,17.3,NA,NA,6.48,NA,435.05,NA,NA,NA,NA,NA,1.037,NA,NA,NA,74.55,NA,777787.29,28824.74,143436.13,633.29,123036.21,6.27,123036.21,6.48,23.33,0.22,13.9,2070.6345,47.2,14.78,1.037,16.4637317752844,NA,NA,0.639514386242673,30100,387,42,61,NA,NA,NA,NA,NA,NA,NA,"Oligohaline","Field","Obs","SF","Obs_SF_Oligohaline","SF","SF_Oligohaline",0.254172015404365
