#OTU	Ran_d1_Rcc_e00_1	Ran_d1_Rcc_e00_2	Ran_d1_Rcc_e40_1	Ran_d1_Rcc_e40_2	Ran_d1_Sal_e00_1	Ran_d1_Sal_e00_2	Ran_d1_Sal_e40_1	Ran_d1_Sal_e40_2	Ran_d1_Stw_e00_1	Ran_d1_Stw_e00_2	Ran_d1_Stw_e40_1	Ran_d1_Stw_e40_2	Ran_d1_Stw_e40_3	Ran_d2_Rcc_e00_1	Ran_d2_Rcc_e00_2	Ran_d2_Rcc_e40_1	Ran_d2_Rcc_e40_2	Ran_d2_Sal_e00_1	Ran_d2_Sal_e00_2	Ran_d2_Sal_e40_1	Ran_d2_Sal_e40_2	Ran_d2_Stw_e00_1	Ran_d2_Stw_e00_2	Ran_d2_Stw_e40_1	Ran_d2_Stw_e40_2	Ran_d2_Stw_e40_3	TS_FW_d1_00_1	TS_FW_d1_00_2	TS_FW_d1_04_1	TS_FW_d1_04_2	TS_FW_d1_07_1	TS_FW_d1_07_2	TS_FW_d1_12_1	TS_FW_d1_12_2	TS_FW_d2_00_1	TS_FW_d2_00_2	TS_FW_d2_04_1	TS_FW_d2_04_2	TS_FW_d2_07_1	TS_FW_d2_07_2	TS_FW_d2_12_1	TS_FW_d2_12_2	TS_SW_d1_04_1	TS_SW_d1_04_2	TS_SW_d1_07_1	TS_SW_d1_07_2	TS_SW_d1_12_1	TS_SW_d1_12_2	TS_SW_d2_04_1	TS_SW_d2_04_2	TS_SW_d2_07_1	TS_SW_d2_07_2	TS_SW_d2_12_1	TS_SW_d2_12_2	d1_Ran_0_1	d1_Ran_0_2	d1_Ran_F_e00_1	d1_Ran_F_e00_2	d1_Ran_F_e40_1	d1_Ran_F_e40_2	d1_Rcc_0_1	d1_Rcc_F_e00_1	d1_Rcc_F_e00_2	d1_Rcc_F_e40_1	d1_Rcc_F_e40_2	d1_Sal_0_1	d1_Sal_F_e00_1	d1_Sal_F_e00_2	d1_Sal_F_e40_1	d1_Sal_F_e40_2	d1_Stw_0_1	d1_Stw_F_e00_1	d1_Stw_F_e00_2	d1_Stw_F_e40_1	d2_Ran_0_1	d2_Ran_0_2	d2_Ran_F_e00_1	d2_Ran_F_e40_1	d2_Ran_F_e40_2	d2_Rcc_0_1	d2_Rcc_F_e00_1	d2_Rcc_F_e40_1	d2_Rcc_F_e40_2	d2_Sal_0_1	d2_Sal_F_e00_1	d2_Sal_F_e00_2	d2_Sal_F_e40_1	d2_Sal_F_e40_2	d2_Stw_0_1	d2_Stw_F_e00_1	d2_Stw_F_e00_2	d2_Stw_F_e40_1	Consensus lineage
2295	0	0	0	0	46	3	72	33	0	2	12	0	22	0	0	0	0	0	0	1	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	52	61	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	2	0	0	0	0	
2456	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	1	0	1	2	3	0	7	0	0	0	0	0	0	0	6	7	1	8	3	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	3	35	153	56	1	0	0	0	0	0	0	0	0	
2562	0	0	3	3	0	2	2	1	1	0	0	0	0	1	0	3	1	0	2	2	0	0	0	1	1	0	12	4	12	5	9	18	10	0	8	5	2	7	7	7	7	0	6	2	10	7	1	13	4	5	7	4	13	5	3	3	0	1	1	0	2	2	0	2	5	3	2	0	2	1	3	1	0	0	8	0	0	1	3	3	1	19	2	3	0	0	1	0	0	0	1	0	
2592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	6	0	0	0	0	0	0	0	0	0	5	5	19	31	22	174	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	25	0	0	0	0	26	6	0	7	50	23	33	0	0	1	0	0	0	0	11	14	14	39	14	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
2704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	32	0	0	0	0	25	5	0	18	32	10	14	4	1	2	0	2	0	3	11	5	35	9	15	15	8	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	1	2	3	1	2	3	0	0	0	0	0	0	0	0	0	
3007	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	0	0	0	0	0	0	12	1	5	5	2	1	2	0	1	23	0	28	2	52	4	1	0	4	8	16	0	3	7	2	2	3	2	8	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	12	4	0	0	0	0	0	1	0	1	0	
3011	0	0	0	1	0	0	0	0	0	0	0	19	0	0	2	12	0	0	2	10	1	1	2	0	1	0	8	2	3	4	2	5	4	0	4	1	0	8	4	1	1	0	2	4	1	7	2	4	2	1	5	0	9	0	5	2	2	0	4	10	2	1	0	0	0	2	0	0	0	0	0	0	0	0	11	0	1	10	12	8	0	24	3	0	0	1	0	0	0	0	0	0	
3036	0	0	2	4	0	1	2	1	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	2	11	3	7	7	9	0	0	2	10	11	0	9	2	0	4	5	12	8	2	5	3	1	0	0	2	0	0	0	0	0	0	0	3	0	0	1	4	8	0	0	1	1	0	0	0	0	14	0	0	5	0	18	0	8	0	0	6	1	4	3	1	0	0	1	
3057	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	13	0	0	0	0	0	0	2	1	5	2	2	0	1	0	10	1	1	2	6	1	16	2	0	1	0	1	0	0	4	1	2	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	8	3	26	83	9	0	0	0	0	0	0	0	0	0	
