#Sample	chao1	observed_species	shannon	simpson
Ran_d1_Rcc_e00_1	3851.79787234	2950.0	9.34063577459	0.992285738862
Ran_d1_Rcc_e00_2	4694.74567474	3696.0	9.70782791257	0.99223696538
Ran_d1_Rcc_e40_1	4885.98484848	3665.0	9.3883038284	0.994701047584
Ran_d1_Rcc_e40_2	4844.26588629	3770.0	9.20542377702	0.984942049015
Ran_d1_Sal_e00_1	5152.01584786	3899.0	9.33273346303	0.99245311024
Ran_d1_Sal_e00_2	4872.10204082	3488.0	9.51762675838	0.994759563718
Ran_d1_Sal_e40_1	4592.21975806	3378.0	9.02210816667	0.991867652413
Ran_d1_Sal_e40_2	4734.82994455	3562.0	8.831519248	0.98880167079
Ran_d1_Stw_e00_1	3551.84677419	2697.0	7.77860783281	0.960965578024
Ran_d1_Stw_e00_2	3178.2	2410.0	8.65670089645	0.992702433804
Ran_d1_Stw_e40_1	3347.12166172	2617.0	8.94069270181	0.994170949439
Ran_d1_Stw_e40_2	4653.10800745	3509.0	9.37105793764	0.995225235229
Ran_d1_Stw_e40_3	3782.23809524	2887.0	8.87370778376	0.986977362417
Ran_d2_Rcc_e00_1	4624.98949212	3614.0	8.74051809293	0.976258865867
Ran_d2_Rcc_e00_2	4108.21980198	3282.0	9.61244126214	0.995953419099
Ran_d2_Rcc_e40_1	4947.31034483	3993.0	9.67088038102	0.995593222701
Ran_d2_Rcc_e40_2	4258.15957447	3424.0	9.85277839409	0.996849786334
Ran_d2_Sal_e00_1	4203.0	3282.0	9.65366151575	0.996611165784
Ran_d2_Sal_e00_2	4053.10020877	3201.0	9.4879664529	0.995617527082
Ran_d2_Sal_e40_1	4855.62564103	4012.0	9.79095113629	0.996630416472
Ran_d2_Sal_e40_2	5067.08644401	3916.0	9.42093957052	0.99247598328
Ran_d2_Stw_e00_1	4559.59356137	3301.0	9.21925708941	0.993015289267
Ran_d2_Stw_e00_2	4382.42290749	3280.0	9.12999337148	0.993660910321
Ran_d2_Stw_e40_1	4019.19325153	2792.0	8.80412443726	0.993888890676
Ran_d2_Stw_e40_2	4576.58892617	3617.0	9.25292950357	0.992346656907
Ran_d2_Stw_e40_3	1943.7	1075.0	5.05669278392	0.917566512334
TS_FW_d1_00_1	4742.64726027	3767.0	9.7179544566	0.996347990857
TS_FW_d1_00_2	4783.75163399	3758.0	9.81296134005	0.996465909845
TS_FW_d1_04_1	4557.05115512	3592.0	9.69382337491	0.996178295432
TS_FW_d1_04_2	4951.21354167	3898.0	9.8308859209	0.996379874032
TS_FW_d1_07_1	5157.0822695	4123.0	9.69708044278	0.995514796112
TS_FW_d1_07_2	5497.10557185	4378.0	9.77060917927	0.994615124139
TS_FW_d1_12_1	4458.49904398	3530.0	9.88338267213	0.996914646968
TS_FW_d1_12_2	2304.1040724	1447.0	6.89637288696	0.979180382193
TS_FW_d2_00_1	4534.93085106	3734.0	9.85871280344	0.996574402776
TS_FW_d2_00_2	4598.34752981	3527.0	9.95014745793	0.997048553192
TS_FW_d2_04_1	5214.02044025	4124.0	9.45507386403	0.993571935778
TS_FW_d2_04_2	4685.95400341	3762.0	9.0045671277	0.986959155519
TS_FW_d2_07_1	4381.46153846	3636.0	9.72039555013	0.996087034637
TS_FW_d2_07_2	4573.7818854	3826.0	10.0628852896	0.99753246561
TS_FW_d2_12_1	4407.51818182	3444.0	8.93109528029	0.98994409883
TS_FW_d2_12_2	2760.37209302	1831.0	7.43329018824	0.978536066536
TS_SW_d1_04_1	4698.54276316	3717.0	9.41922751419	0.99533988739
TS_SW_d1_04_2	5152.26265823	4125.0	9.73493525454	0.996385207804
TS_SW_d1_07_1	4616.28301887	3659.0	9.48918145133	0.995564779676
TS_SW_d1_07_2	5212.92401216	4347.0	10.0258480518	0.997300223226
TS_SW_d1_12_1	4315.98322851	3273.0	9.19155268919	0.994338394507
TS_SW_d1_12_2	4902.94796748	4094.0	9.99954849164	0.997315971803
TS_SW_d2_04_1	4485.90298507	3554.0	9.27783518085	0.993502742781
TS_SW_d2_04_2	4099.75	3353.0	9.69650657005	0.995747637543
TS_SW_d2_07_1	4335.59548255	3536.0	9.78421938824	0.996815763432
TS_SW_d2_07_2	4311.60308285	3454.0	9.94102971063	0.99701975375
TS_SW_d2_12_1	4637.43373494	3788.0	9.77155092115	0.996510361373
