"Lineage"	"Ran_d1_Rcc_e00_1"	"Ran_d1_Rcc_e00_2"	"Ran_d1_Rcc_e40_1"	"Ran_d1_Rcc_e40_2"	"Ran_d1_Sal_e00_1"	"Ran_d1_Sal_e00_2"	"Ran_d1_Sal_e40_1"	"Ran_d1_Sal_e40_2"	"Ran_d1_Stw_e00_1"	"Ran_d1_Stw_e00_2"	"Ran_d1_Stw_e40_1"	"Ran_d1_Stw_e40_2"	"Ran_d1_Stw_e40_3"	"Ran_d2_Rcc_e00_1"	"Ran_d2_Rcc_e00_2"	"Ran_d2_Rcc_e40_1"	"Ran_d2_Rcc_e40_2"	"Ran_d2_Sal_e00_1"	"Ran_d2_Sal_e00_2"	"Ran_d2_Sal_e40_1"	"Ran_d2_Sal_e40_2"	"Ran_d2_Stw_e00_1"	"Ran_d2_Stw_e00_2"	"Ran_d2_Stw_e40_1"	"Ran_d2_Stw_e40_2"	"Ran_d2_Stw_e40_3"	"TS_FW_d1_00_1"	"TS_FW_d1_00_2"	"TS_FW_d1_04_1"	"TS_FW_d1_04_2"	"TS_FW_d1_07_1"	"TS_FW_d1_07_2"	"TS_FW_d1_12_1"	"TS_FW_d1_12_2"	"TS_FW_d2_00_1"	"TS_FW_d2_00_2"	"TS_FW_d2_04_1"	"TS_FW_d2_04_2"	"TS_FW_d2_07_1"	"TS_FW_d2_07_2"	"TS_FW_d2_12_1"	"TS_FW_d2_12_2"	"TS_SW_d1_04_1"	"TS_SW_d1_04_2"	"TS_SW_d1_07_1"	"TS_SW_d1_07_2"	"TS_SW_d1_12_1"	"TS_SW_d1_12_2"	"TS_SW_d2_04_1"	"TS_SW_d2_04_2"	"TS_SW_d2_07_1"	"TS_SW_d2_07_2"	"TS_SW_d2_12_1"	"TS_SW_d2_12_2"	"d1_Ran_0_1"	"d1_Ran_0_2"	"d1_Ran_F_e00_1"	"d1_Ran_F_e00_2"	"d1_Ran_F_e40_1"	"d1_Ran_F_e40_2"	"d1_Rcc_0_1"	"d1_Rcc_F_e00_1"	"d1_Rcc_F_e00_2"	"d1_Rcc_F_e40_1"	"d1_Rcc_F_e40_2"	"d1_Sal_0_1"	"d1_Sal_F_e00_1"	"d1_Sal_F_e00_2"	"d1_Sal_F_e40_1"	"d1_Sal_F_e40_2"	"d1_Stw_0_1"	"d1_Stw_F_e00_1"	"d1_Stw_F_e00_2"	"d1_Stw_F_e40_1"	"d2_Ran_0_1"	"d2_Ran_0_2"	"d2_Ran_F_e00_1"	"d2_Ran_F_e40_1"	"d2_Ran_F_e40_2"	"d2_Rcc_0_1"	"d2_Rcc_F_e00_1"	"d2_Rcc_F_e40_1"	"d2_Rcc_F_e40_2"	"d2_Sal_0_1"	"d2_Sal_F_e00_1"	"d2_Sal_F_e00_2"	"d2_Sal_F_e40_1"	"d2_Sal_F_e40_2"	"d2_Stw_0_1"	"d2_Stw_F_e00_1"	"d2_Stw_F_e00_2"	"d2_Stw_F_e40_1"
"k__Bacteria;p__Proteobacteria"	20414	15808	27348	20908	21004	15212	18866	25246	48269	32781	36942	23729	38280	15951	18251	31492	21232	19475	14863	20393	31917	30309	30141	40883	38139	44680	22101	20533	16551	17584	26911	27868	14264	16818	12943	10879	35759	12789	21100	13886	9322	15660	26618	28119	26908	25817	23946	22366	14699	8730	11978	11933	14638	5061	17390	24268	25064	23318	18495	25770	31833	27030	26787	22175	31889	23660	35492	12853	22135	25389	36121	29261	31245	28123	25952	16744	25151	20820	25886	30406	31404	18419	41989	20842	27528	40900	26057	23722	38109	41499	35774	21060	24444.2826086957
"k__Bacteria;p__Bacteroidetes"	4241	2578	11267	5990	6737	6134	7116	15369	13280	14943	12680	4340	8616	16822	1928	4741	2672	4175	5392	6411	10394	3174	6063	13906	2939	4662	5285	4590	2950	2050	3949	3794	3530	1449	1868	1731	7372	3214	1377	2983	5234	7308	3582	5939	3483	4951	5938	4464	4124	1335	3705	1114	7808	3127	1153	4729	3615	3628	4600	4903	6207	7057	9357	10204	7055	4266	6238	2346	13651	13385	6322	5869	11493	7798	7107	762	2587	3035	3348	3916	2935	4010	2380	5031	11405	5042	7746	6388	3342	1206	9120	4671	5681.85869565217
"k__Bacteria;p__Chloroflexi"	3616	3144	2314	4032	4745	3966	8292	3765	2784	2982	4168	8905	2920	4809	4743	4499	4578	5239	9657	10682	3902	1673	3751	4662	3146	347	5531	5234	6146	6778	6366	8157	7251	4010	9789	6013	6750	5452	8986	8639	4994	3049	7139	7382	6762	8902	4426	8477	6044	4658	8173	5732	6679	3025	7864	6733	2435	2304	3014	8628	6807	3449	3465	2465	3669	8596	6070	2108	5064	8330	2803	1426	3013	5362	9293	5303	2628	6242	6990	11924	5674	10314	5058	5469	5210	8383	14763	8933	4616	196	2591	8959	5587.13043478261
"k__Bacteria;p__Acidobacteria"	6779	5102	2607	1954	1832	1296	1477	1412	1034	2526	2042	2428	2180	8590	5416	7262	8773	10617	4298	7811	5621	2391	5135	2889	3940	3460	2495	2591	1906	2709	2263	2984	4205	5957	3755	2897	2928	2836	5860	3639	3582	8728	2830	3723	2281	4007	4282	7747	2391	2776	2599	3549	3404	2345	12878	8785	3716	3923	2203	7788	2867	3257	3451	2863	2175	1216	2608	1009	1272	1189	770	1102	1307	1408	1455	10174	11529	3455	4200	2817	5755	3294	1234	5859	2076	3420	2102	1227	608	6282	1738	1274	3743.77173913043
"k__Bacteria;p__Firmicutes"	659	1470	438	1108	689	371	1579	819	1657	927	535	737	389	6312	1639	562	1323	2306	1191	2167	1623	1184	4729	660	1133	1227	2161	1500	3005	4293	1828	2599	550	11680	7106	2327	2231	18740	2432	9491	15072	1186	2640	1870	2005	2187	443	594	16037	9609	10678	2185	6429	3565	3312	3187	775	761	9330	9977	1640	1173	1452	767	1167	754	1283	274	598	1291	3445	506	975	1420	1567	3839	1760	1418	3766	4517	814	957	1230	1539	808	881	1330	1166	4983	3153	1041	1352	2848.75
"k__Bacteria;p__Actinobacteria"	4339	3060	500	1646	1359	611	1571	509	835	2846	1950	1338	908	1187	1436	1331	2674	4941	3262	1611	1566	1108	3599	3107	2487	1584	2069	2528	1949	1138	1962	2692	1048	9365	1993	995	3056	1401	1426	2265	690	3301	1882	2407	1932	2234	1139	1544	1638	1358	2453	973	813	494	2075	4601	2211	4030	1377	6878	2292	2478	2967	606	3112	734	5354	2568	398	987	281	1234	686	1259	1569	1007	7268	805	1656	2461	2229	994	3615	4003	1604	7118	2211	1019	343	15279	1348	734	2277.1847826087
"k__Bacteria;p__Verrucomicrobia"	1853	1537	3594	2760	2296	2976	2803	2587	1121	1544	1923	601	1513	1728	1537	2818	1958	1939	2113	2294	1798	355	531	1933	769	123	2495	2050	1793	1151	1829	2560	3653	127	1361	1124	2723	1046	1401	1546	924	629	1767	2540	2021	2732	3324	4119	975	702	1241	1165	1726	813	2047	2860	2156	1559	1152	1504	3391	2527	2200	3248	3215	2157	2285	1032	3283	2053	554	955	1024	848	2820	1364	927	2458	1872	2337	1719	2042	367	3441	1641	1561	1749	1807	326	322	401	733	1787.80434782609
"k__Bacteria;p__Nitrospirae"	612	1277	2011	1379	1151	815	970	1131	271	246	362	3406	307	1474	2782	5156	2323	1579	933	3833	3812	2983	2194	358	2110	55	1204	1300	1587	3676	2431	2766	616	34	2419	1577	2281	2299	4846	1939	1881	809	1996	2219	2089	3217	1159	2031	2397	1610	2042	2986	2350	792	3185	1861	1322	763	1889	2278	2063	1346	1021	1335	2237	1432	1191	258	901	1221	124	114	295	309	616	2764	275	2825	5216	2180	2500	1767	1673	1110	1088	220	927	893	123	469	344	665	1640.03260869565
"k__Bacteria;p__Chlorobi"	338	825	1446	1066	1559	1239	1348	2327	1380	2157	1785	1283	2594	1367	1518	2852	1236	1876	2470	2768	2015	874	1936	2588	1985	2407	2129	1291	1660	1191	1624	2272	2148	67	1637	1104	1937	930	1154	1347	649	1130	2081	2321	1999	2114	3683	2879	1004	528	1103	739	1891	525	1296	1759	698	461	841	2051	1697	1050	983	1453	1363	1622	2017	1405	2026	2234	442	1083	1699	1315	1628	1215	307	1959	2094	1769	1510	1817	587	1236	2487	2244	2197	1903	357	545	4856	557	1577.59782608696
"k__Bacteria;p__Planctomycetes"	2087	1367	1072	960	1137	872	1336	1036	1098	2033	2378	1170	1453	1103	1173	1416	2607	2175	1194	1856	1605	965	2144	2503	1283	88	1057	954	865	1331	1075	1492	1241	797	1600	977	1252	1274	2245	1399	857	492	1066	1157	1171	1474	1212	1894	804	925	1376	1231	1315	614	2611	2660	1453	1800	730	2072	1559	1146	1296	934	893	1550	1085	294	1117	1045	886	681	1517	1455	1558	1850	634	2158	1546	1972	986	2155	562	2196	993	645	1558	1242	1106	88	876	2232	1330.42391304348
