"","Estuary","sampleID","Salinity_calcd_ppt","Salinity","Salinity_ppt_all","Conductivity_uS_cm","CH4_pw_air_ppmv","CH4_ug_m2_h","N2O_ug_m2_h","CO2_ug_m2_h","NEE_mgC_m2_m","GEP_mgC_m2_m","PAR_uE_m2_s","CH4_pot_umol_gdw_h","CO2_pot_umol_gdw_h","Cl_mgL","SO4_mgL","NH4_mgL","NO3_mgL","pH","PO4_mgL","Fe_mgL","Acetate_mgL","TotalVFA_uM","SR_umol_cm3_d","AMG_umol_cm3_d","TOC_mgL","TN_mgL","Br_mgL","DIN_mgL","DON_mgL","DOC_mgL","DIC_mgL","Na_mgL","K_mgL","Ca_mgL","Mn_mgL","Mg_mgL","Cu_mgL","Zn_mgL","sed_pH","sed_NH4_mgL","sed_NO3_mgL","sed_PO4_mgL","sed_Cl_mgL","sed_SO4_mgL","sed_per_C","sed_per_N","sed_CN","sed_per_org","sed_per_inorg","sed_Bulk_dens","sed_Fe_mgL","sed_Mn_mgL","sed_Cu_mgL","sed_Zn_mgL","N2_umol_m2_h","SOD_umol_m2_h","NO3_umol_m2_h","NH4_umol_m2_h","SRP_umol_m2_h","DON_umol_m2_h"
"124","Waccamaw","Alt_d2_SAL_8M",NA,"2.5",2.5,4684,46.6,6485.98920471472,NA,138108.042497573,8.75078491779909,11.128067824435,1400.1,0.000688294,0.282930019,NA,NA,NA,NA,"6.77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.1694305726318,1.80025913516444,17.8693333333333,69.7838409777991,30.2161590222009,NA,NA,NA,NA,NA,71.5004464575304,214.719223466809,7.93996181002709,-1.87841378391581,-0.234640568752695,-68.6753408233047
"125","Waccamaw","Alt_d1_Ctrl_9T",NA,"NA",NA,NA,NA,11870.792243265,NA,191351.26539456,5.94089256552426,9.03142565129727,1372.25,0.015826525,0.602427973,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.4213957250475,2.09567985717109,14.0390697674419,65.006421038644,34.993578961356,NA,NA,NA,NA,NA,81.3568577608072,580.496252209459,2.74434921621742,-3.47706381278032,-0.0601642483981271,14.0547981704339
"126","Waccamaw","Alt_d2_Ctrl_9M",NA,"0.3",0.3,650.1,185.6,11870.792243265,NA,191351.26539456,5.94089256552426,9.03142565129727,1372.25,0.000140223,0.205204663,NA,NA,NA,NA,"6.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.9049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9418370242248,2.20845978756247,14.4633998790079,63.1867491883379,36.8132508116621,NA,NA,NA,NA,NA,81.3568577608072,580.496252209459,2.74434921621742,-3.47706381278032,-0.0601642483981271,14.0547981704339
"127","Waccamaw","Alt_d1_Ctrl_10T",NA,"NA",NA,NA,NA,7191.57298616313,NA,161865.575970394,3.60096516571906,6.32952995195882,1380.72727272727,0.225081035,0.791453265,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4299400699986,2.56020563847631,13.4481718456205,70.8232277094543,29.1767722905457,NA,NA,NA,NA,NA,93.5156310420468,719.5136011568,5.40876593099161,10.4978018562103,-1.01075937308853,-66.5304853679115
"128","Waccamaw","Alt_d2_Ctrl_10M",NA,"0",0,136.7,18.8,7191.57298616313,NA,161865.575970394,3.60096516571906,6.32952995195882,1380.72727272727,0.003188221,0.458142438,NA,NA,NA,NA,"6.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.6597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3642301218931,2.27924246472235,14.6382978723404,69.3323930640457,30.6676069359543,NA,NA,NA,NA,NA,93.5156310420468,719.5136011568,5.40876593099161,10.4978018562103,-1.01075937308853,-66.5304853679115
"129","Waccamaw","Alt_d1_FW_11T",NA,"NA",NA,NA,NA,11166.325073161,NA,245631.713982621,8.08071921417977,12.2758536481153,1318.10526315789,0.204888173,0.875898083,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8006398343863,2.58490164748357,13.4630421502749,69.1772167937298,30.8227832062702,NA,NA,NA,NA,NA,74.2353404770836,491.173238784439,2.11821128824548,-4.10320174075225,-1.11303859536535,-11.3370931213642
"130","Waccamaw","Alt_d2_FW_11M",NA,"0.1",0.1,284.1,10.5,11166.325073161,NA,245631.713982621,8.08071921417977,12.2758536481153,1318.10526315789,0.000645825,0.151985268,NA,NA,NA,NA,"6.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.5546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.2698966508499,2.10668289776639,14.3685111237878,62.0578993509135,37.9421006490865,NA,NA,NA,NA,NA,74.2353404770836,491.173238784439,2.11821128824548,-4.10320174075225,-1.11303859536535,-11.3370931213642
"131","Waccamaw","Alt_d1_SAL_12T",NA,"NA",NA,NA,NA,4460.7736227523,NA,111515.321709684,3.80521696319074,5.74776073184546,1250.11764705882,0.000279796,0.391711292,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.1119301323952,2.20630102104265,14.1013986013986,67.6066866760042,32.3933133239958,NA,NA,NA,NA,NA,16.9086364174687,115.737010239364,6.20809094542387,-4.0365913228829,-0.734003830457148,-67.4497091345086
"132","Waccamaw","Alt_d2_SAL_12M",NA,"0.6",0.6,1194,31.3,4460.7736227523,NA,111515.321709684,3.80521696319074,5.74776073184546,1250.11764705882,0.000162884,0.214435906,NA,NA,NA,NA,"6.71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.7264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3552320383263,1.94409732527258,15.6140495867769,64.9925598227777,35.0074401772223,NA,NA,NA,NA,NA,16.9086364174687,115.737010239364,6.20809094542387,-4.0365913228829,-0.734003830457148,-67.4497091345086
"133","Waccamaw","Alt_d1_SAL_13T",NA,"NA",NA,NA,NA,2981.67848346017,NA,74328.3945776129,3.12308938109259,4.45917688098448,1366.45,0.00013442,0.373423047,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.8354821466792,2.23965916924304,14.6609281437126,69.7857872024618,30.2142127975382,NA,NA,NA,NA,NA,-0.885549944539783,55.4493105600795,9.80505351036902,0.27976375505129,0.102279222276816,61.8544340334829
